,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0,0041200304,0,12,0,1,8:35 PM,12:00,,Start of 1st Period (8:35 PM EST),,,,0.0,0,,,,,,0,0,,,,,,0,0,,,,,,0
1,0041200304,1,10,0,1,8:35 PM,12:00,Jump Ball Hibbert vs. Bosh: Tip to Chalmers,,,,,4.0,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,5,2547,Chris Bosh,1610612748.0,Miami,Heat,MIA,5,201596,Mario Chalmers,1610612748.0,Miami,Heat,MIA,0
2,0041200304,2,5,1,1,8:35 PM,11:39,Hibbert STEAL (1 STL),,Wade Bad Pass Turnover (P1.T1),,,5.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,4,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
3,0041200304,3,1,65,1,8:35 PM,11:20,Hibbert 9' Jump Hook Shot (2 PTS),,,0 - 2,2,4.0,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
4,0041200304,4,6,3,1,8:36 PM,11:00,Hill L.B.FOUL (P1.T1),,,,,4.0,201588,George Hill,1610612754.0,Indiana,Pacers,IND,5,2547,Chris Bosh,1610612748.0,Miami,Heat,MIA,1,0,,,,,,0
5,0041200304,5,2,5,1,8:36 PM,10:54,,,MISS Chalmers 2' Layup,,,5.0,201596,Mario Chalmers,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
6,0041200304,6,4,0,1,8:36 PM,10:53,West REBOUND (Off:0 Def:1),,,,,4.0,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
7,0041200304,7,6,2,1,8:36 PM,10:49,,,Wade S.FOUL (P1.T1),,,5.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,4,201588,George Hill,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
8,0041200304,8,3,11,1,8:36 PM,10:49,Hill Free Throw 1 of 2 (1 PTS),,,0 - 3,3,4.0,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
9,0041200304,10,3,12,1,8:37 PM,10:49,Hill Free Throw 2 of 2 (2 PTS),,,0 - 4,4,4.0,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
10,0041200304,12,2,1,1,8:37 PM,10:30,,,MISS James 11' Jump Shot,,,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
11,0041200304,13,4,0,1,8:37 PM,10:29,Hibbert REBOUND (Off:0 Def:1),,,,,4.0,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
12,0041200304,14,1,1,1,8:38 PM,10:20,Hill 26' 3PT Jump Shot (5 PTS) (Stephenson 1 AST),,,0 - 7,7,4.0,201588,George Hill,1610612754.0,Indiana,Pacers,IND,4,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
13,0041200304,15,2,1,1,8:38 PM,9:58,,,MISS Chalmers 26' 3PT Jump Shot,,,5.0,201596,Mario Chalmers,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
14,0041200304,16,4,0,1,8:38 PM,9:57,West REBOUND (Off:0 Def:2),,,,,4.0,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
15,0041200304,17,1,5,1,8:38 PM,9:53,Hill 2' Layup (7 PTS) (West 1 AST),,,0 - 9,9,4.0,201588,George Hill,1610612754.0,Indiana,Pacers,IND,4,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
16,0041200304,18,9,1,1,8:38 PM,9:52,,,Heat Timeout: Regular (Reg.1 Short 0),,,3.0,1610612748,,,,,,0,0,,,,,,0,0,,,,,,0
17,0041200304,20,2,1,1,8:42 PM,9:37,,,MISS Chalmers 10' Jump Shot,,,5.0,201596,Mario Chalmers,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
18,0041200304,21,4,0,1,8:42 PM,9:36,Hibbert REBOUND (Off:0 Def:2),,,,,4.0,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
19,0041200304,22,1,46,1,8:42 PM,9:22,Stephenson 6' Running Jump Shot (2 PTS),,,0 - 11,11,4.0,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
20,0041200304,23,6,1,1,8:42 PM,9:07,Stephenson P.FOUL (P1.T2),,,,,4.0,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,5,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,1,0,,,,,,0
21,0041200304,24,2,1,1,8:43 PM,8:52,,,MISS Haslem 15' Jump Shot,,,5.0,2617,Udonis Haslem,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
22,0041200304,25,4,0,1,8:43 PM,8:50,,,James REBOUND (Off:1 Def:0),,,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
23,0041200304,26,2,5,1,8:43 PM,8:49,West BLOCK (1 BLK),,MISS James 1' Layup,,,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,4,2561,David West,1610612754.0,Indiana,Pacers,IND,0
24,0041200304,27,4,0,1,8:43 PM,8:48,,,James REBOUND (Off:2 Def:0),,,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
25,0041200304,28,6,2,1,8:43 PM,8:48,West S.FOUL (P1.T3),,,,,4.0,2561,David West,1610612754.0,Indiana,Pacers,IND,5,2544,LeBron James,1610612748.0,Miami,Heat,MIA,1,0,,,,,,0
26,0041200304,29,3,11,1,8:43 PM,8:48,,,James Free Throw 1 of 2 (1 PTS),1 - 11,10,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
27,0041200304,31,3,12,1,8:43 PM,8:48,,,James Free Throw 2 of 2 (2 PTS),2 - 11,9,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
28,0041200304,33,5,1,1,8:44 PM,8:37,George Bad Pass Turnover (P1.T1),,,,,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
29,0041200304,34,1,73,1,8:44 PM,8:24,,,Chalmers 2' Driving Reverse Layup (2 PTS),4 - 11,7,5.0,201596,Mario Chalmers,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
30,0041200304,36,6,2,1,8:45 PM,8:09,,,Wade S.FOUL (P2.T2),,,5.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,4,202331,Paul George,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
31,0041200304,37,3,11,1,8:45 PM,8:09,MISS George Free Throw 1 of 2,,,,,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
32,0041200304,38,4,1,1,8:45 PM,8:09,PACERS Rebound,,,,,2.0,1610612754,,,,,,0,0,,,,,,0,0,,,,,,0
33,0041200304,39,3,12,1,8:45 PM,8:09,George Free Throw 2 of 2 (1 PTS),,,4 - 12,8,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
34,0041200304,41,2,1,1,8:46 PM,7:57,,,MISS Wade 20' Jump Shot,,,5.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
35,0041200304,42,4,0,1,8:46 PM,7:56,George REBOUND (Off:0 Def:1),,,,,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
36,0041200304,43,6,1,1,8:46 PM,7:52,,,Bosh P.FOUL (P1.T3),,,5.0,2547,Chris Bosh,1610612748.0,Miami,Heat,MIA,4,201579,Roy Hibbert,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
37,0041200304,44,1,88,1,8:46 PM,7:44,George 1' Driving Slam Dunk (3 PTS),,,4 - 14,10,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
38,0041200304,45,1,1,1,8:47 PM,7:22,,,James 26' 3PT Jump Shot (5 PTS),7 - 14,7,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
39,0041200304,46,2,1,1,8:47 PM,6:54,MISS West 15' Jump Shot,,,,,4.0,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
40,0041200304,47,4,0,1,8:47 PM,6:53,,,Bosh REBOUND (Off:0 Def:1),,,5.0,2547,Chris Bosh,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
41,0041200304,48,1,5,1,8:47 PM,6:43,,,James 2' Layup (7 PTS) (Wade 1 AST),9 - 14,5,5.0,2544,LeBron James,1610612748.0,Miami,Heat,MIA,5,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0
42,0041200304,49,5,1,1,8:48 PM,6:24,George Bad Pass Turnover (P2.T2),,Haslem STEAL (1 STL),,,4.0,202331,Paul George,1610612754.0,Indiana,Pacers,IND,5,2617,Udonis Haslem,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0
43,0041200304,50,2,5,1,8:48 PM,6:21,,,MISS Wade 1' Layup,,,5.0,2548,Dwyane Wade,1610612748.0,Miami,Heat,MIA,0,0,,,,,,0,0,,,,,,0
44,0041200304,51,4,0,1,8:48 PM,6:20,Stephenson REBOUND (Off:0 Def:1),,,,,4.0,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
